sample_ID,vineyard,row,habitat_type,description,year,treatment,cover_type,plot_disturbance,veg,plant_spec,plant_cov,Cu,som,clay,h2o_perc
101,1,101,vineyard,SOIL,2017,AC,altb,2,herb,5,22,29.59,4.888341176,6.770137608,9.414326414
102,2,102,vineyard,SOIL,2017,AC,altb,2,herb,6,20,16.18,10.68639304,4.895221506,8.857142857
103,3,103,vineyard,SOIL,2017,CC,veg,1,veg,4,107.5,20.22,6.77852413,5.48478576,11.42857143
104,4,104,vineyard,SOIL,2017,BG,bare,3,herb,2,1,27.68,5.567751501,6.382581751,17.23809524
105,5,105,vineyard,SOIL,2017,AC,altb,2,herb,4,2,9.83,6.311646339,4.855342878,15.55813953
106,6,106,vineyard,SOIL,2017,CC,veg,1,veg,14,43.5,50.01,5.642735654,8.334157047,9.857142857
107,7,107,vineyard,SOIL,2017,CC,veg,1,veg,8,5,22.41,2.813015606,15.12541247,22.68131868
108,8,108,vineyard,SOIL,2017,BG,bare,3,herb,6,31,109.9,8.495303001,9.704258277,12.14285714
109,9,109,vineyard,SOIL,2017,CC,veg,1,veg,6,8.5,110.6,6.159984874,15.2951237,6.285714286
110,10,110,vineyard,SOIL,2017,BG,bare,3,herb,6,21.5,64.36,4.683262665,16.35328502,7.285714286
111,11,111,vineyard,SOIL,2017,CC,veg,1,veg,7,82.5,179.2,8.107477071,5.609091429,15.83435083
112,12,112,vineyard,SOIL,2017,BG,bare,3,herb,2,4,134.1,10.48992485,4.070005326,13.9047619
113,13,113,vineyard,SOIL,2017,AC,altb,2,herb,4,69.5,147.9,7.336285234,5.91883314,11.28571429
114,14,114,vineyard,SOIL,2017,AC,altb,2,herb,2,2,47.89,11.29964634,5.649595139,7.142857143
115,15,115,vineyard,SOIL,2017,CC,veg,1,veg,5,5.5,77.67,14.2054449,7.086686412,16.28571429
116,16,116,vineyard,SOIL,2017,BG,bare,3,herb,2,1.5,165.5,7.988718607,11.20442923,14.69312169
117,17,117,vineyard,SOIL,2017,AC,altb,2,herb,1,0.5,46.13,2.238064826,5.810534723,8.571428571
118,18,118,vineyard,SOIL,2017,AC,altb,2,herb,3,3,73.3,5.3406,5.68675177,12.57142857
119,19,119,vineyard,SOIL,2017,CC,veg,1,veg,12,68.5,38.69,7.545916687,7.808490087,15.57142857
120,20,120,vineyard,SOIL,2017,AC,altb,2,herb,1,0.5,26.57,5.636128211,14.1125661,14.04285714
121,21,121,vineyard,SOIL,2017,BG,bare,3,herb,1,0.5,53.88,4.159488595,13.72716791,11.42857143
122,22,122,vineyard,SOIL,2017,BG,bare,3,herb,1,1,77.86,8.615785594,10.98775693,16.91428571
123,23,123,vineyard,SOIL,2017,CC,veg,1,veg,10,66,47.53,6.555089316,4.535472533,16.57142857
124,24,124,vineyard,SOIL,2017,AC,altb,2,herb,5,6,173.1,8.349020408,6.87722393,11.42857143
125,25,125,vineyard,SOIL,2017,BG,bare,3,herb,2,1.5,82.17,4.051498199,13.07583777,11.21428571
126,26,126,vineyard,SOIL,2017,BG,bare,3,herb,0,0,260.1,23.22,4.566123174,12
127,27,127,vineyard,SOIL,2017,CC,veg,1,veg,7,63,259.5,25.3528,5.608552959,13.50991212
128,28,128,vineyard,SOIL,2017,AC,altb,2,herb,2,1,449.1,20.7948,5.634626644,13.71428571
129,29,129,vineyard,SOIL,2017,AC,altb,2,herb,3,4,25.43,7.3874,2.829178511,13.71428571
130,30,130,vineyard,SOIL,2017,CC,veg,1,veg,5,50,45.33,5.2976,3.575062545,10.57142857
131,31,131,vineyard,SOIL,2017,BG,bare,3,herb,4,45.5,118.9,7.3788,7.635050473,17.71428571
132,32,132,vineyard,SOIL,2017,AC,altb,2,herb,1,1.5,416.9,21.8526,3.502784639,16.28571429
133,33,133,vineyard,SOIL,2017,AC,altb,2,herb,3,5,86.5,5.073318607,11.92343269,13.80952381
201,1,201,vineyard,SOIL,2017,AC,altg,2,veg,1,1,34.3,4.964171909,6.770137608,9.714285714
202,2,202,vineyard,SOIL,2017,AC,altg,2,veg,5,67,17.84,7.687388235,4.895221506,9
